Event Id,Year,Month,Country,Region,State,City,Attack Type,Target,Nation,Gang Name,Weapon,Weapon Type
1.97E+11,1970,1,United States,North America,New York,New York City,Armed Assault,Police,United States,Black Nationalists,5,Firearms
1.97E+11,1970,1,United States,North America,Ohio,Norwalk,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,8,Incendiary
1.97E+11,1970,1,East Germany (GDR),Eastern Europe,,East Berlin,Facility/Infrastructure Attack,Police,Germany,Unknown,8,Incendiary
1.97E+11,1970,1,United States,North America,Washington,Seattle,Bombing/Explosion,Religious Figures/Institutions,United States,White extremists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,United States,North America,Nebraska,South Sioux City,Bombing/Explosion,Unknown,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,United States,North America,Nebraska,South Sioux City,Bombing/Explosion,Business,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,United States,North America,Florida,Coral Gables,Facility/Infrastructure Attack,Military,United States,Student Radicals,8,Incendiary
1.97E+11,1970,1,Philippines,Southeast Asia,Tarlac,Bamban,Unknown,Military,United States,New People's Army (NPA),13,Unknown
1.97E+11,1970,1,United States,North America,Colorado,Denver,Bombing/Explosion,Police,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Oregon,Portland,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,8,Incendiary
1.97E+11,1970,2,United States,North America,Illinois,Cairo,Armed Assault,Police,United States,Black Nationalists,5,Firearms
1.97E+11,1970,2,United States,North America,New York,New York City,Facility/Infrastructure Attack,Business,United States,Unknown,8,Incendiary
1.97E+11,1970,2,United States,North America,New York,New York City,Facility/Infrastructure Attack,Business,United States,Unknown,8,Incendiary
1.97E+11,1970,2,United States,North America,New York,New York City,Facility/Infrastructure Attack,Business,United States,Unknown,8,Incendiary
1.97E+11,1970,2,United States,North America,Ohio,Akron,Bombing/Explosion,Private Citizens & Property,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Colorado,Denver,Bombing/Explosion,Transportation,United States,Black Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Washington,Seattle,Bombing/Explosion,Government (General),United States,White extremists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Washington,Seattle,Bombing/Explosion,Religious Figures/Institutions,United States,White extremists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Puerto Rico,Dorado,Facility/Infrastructure Attack,Government (General),United States,Armed Revolutionary Independence Movement (MIRA),8,Incendiary
1.97E+11,1970,2,United States,North America,Puerto Rico,Rio Piedras,Facility/Infrastructure Attack,Utilities,United States,Armed Revolutionary Independence Movement (MIRA),8,Incendiary
1.97E+11,1970,2,United States,North America,Puerto Rico,Carolina,Facility/Infrastructure Attack,Business,Puerto Rico,Armed Revolutionary Independence Movement (MIRA),8,Incendiary
1.97E+11,1970,2,United States,North America,Massachusetts,Boston,Facility/Infrastructure Attack,Military,United States,Student Radicals,8,Incendiary
1.97E+11,1970,2,United States,North America,Wisconsin,Whitewater,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,8,Incendiary
1.97E+11,1970,2,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Armed Revolutionary Independence Movement (MIRA),6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Armed Revolutionary Independence Movement (MIRA),6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Armed Revolutionary Independence Movement (MIRA),6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Ohio,Batavia,Bombing/Explosion,Private Citizens & Property,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,West Germany (FRG),Western Europe,Bavaria,Munich,Armed Assault,Airports & Aircraft,Israel,Popular Front for the Liberation of Palestine (PFLP),5,Firearms
1.97E+11,1970,2,United States,North America,Michigan,Ypsilanti,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,8,Incendiary
1.97E+11,1970,2,United States,North America,California,Berkeley,Bombing/Explosion,Police,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,West Germany (FRG),Western Europe,Bavaria,Munich,Facility/Infrastructure Attack,Private Citizens & Property,Germany,Popular Front for the Liberation of Palestine (PFLP),8,Incendiary
1.97E+11,1970,2,United States,North America,California,Berkeley,Bombing/Explosion,Police,United States,Black Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Oregon,Eugene,Facility/Infrastructure Attack,Military,United States,Student Radicals,8,Incendiary
1.97E+11,1970,2,United States,North America,California,San Francisco,Bombing/Explosion,Police,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,California,Berkeley,Bombing/Explosion,Business,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,California,Berkeley,Bombing/Explosion,Business,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,California,San Francisco,Armed Assault,Police,United States,Left-Wing Militants,5,Firearms
1.97E+11,1970,2,United States,North America,California,Oakland,Bombing/Explosion,Business,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Maryland,Buckeystown,Bombing/Explosion,Utilities,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Louisiana,Covington,Bombing/Explosion,Educational Institution,United States,White extremists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Washington,Seattle,Bombing/Explosion,Military,United States,Student Radicals,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Ohio,Cleveland,Bombing/Explosion,Police,United States,Black Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,California,Vallejo,Bombing/Explosion,Police,United States,Black Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Connecticut,Hartford,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,8,Incendiary
1.97E+11,1970,2,United States,North America,New York,New York City,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,8,Incendiary
1.97E+11,1970,2,United States,North America,Washington,Seattle,Bombing/Explosion,Educational Institution,United States,Student Radicals,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,West Germany (FRG),Western Europe,Hesse,Frankfurt,Bombing/Explosion,Airports & Aircraft,Austria,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,Switzerland,Western Europe,Zurich,Zurich,Bombing/Explosion,Airports & Aircraft,Switzerland,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,New York,New York City,Facility/Infrastructure Attack,Police,United States,Left-Wing Militants,8,Incendiary
1.97E+11,1970,2,United States,North America,New York,New York City,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,8,Incendiary
1.97E+11,1970,2,United States,North America,New York,New York City,Bombing/Explosion,Private Citizens & Property,United States,"Weather Underground, Weathermen",6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Colorado,Denver,Facility/Infrastructure Attack,Private Citizens & Property,United States,Black Nationalists,8,Incendiary
1.97E+11,1970,2,United States,North America,New York,Ithaca,Facility/Infrastructure Attack,Educational Institution,United States,White extremists,8,Incendiary
1.97E+11,1970,2,United States,North America,Wisconsin,Prairie du Sac,Bombing/Explosion,Utilities,United States,New Year's Gang,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Nebraska,South Sioux City,Bombing/Explosion,Utilities,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Nebraska,South Sioux City,Bombing/Explosion,Utilities,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Nebraska,South Sioux City,Bombing/Explosion,Utilities,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Nebraska,South Sioux City,Bombing/Explosion,Utilities,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Arizona,Tucson,Bombing/Explosion,Military,United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Colorado,Denver,Bombing/Explosion,Private Citizens & Property,United States,White extremists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,United States,North America,Illinois,Champaign,Facility/Infrastructure Attack,Military,United States,Student Radicals,8,Incendiary
1.97E+11,1970,2,United States,North America,Colorado,Boulder,Bombing/Explosion,Educational Institution,United States,Student Radicals,6,Explosives/Bombs/Dynamite
1.97E+11,1970,2,Jordan,Middle East & North Africa,Khalil,Hebron,Armed Assault,Tourists,Jordan,Unknown,5,Firearms
1.97E+11,1970,3,Philippines,Southeast Asia,Metropolitian Manila,Manila,Bombing/Explosion,Government (Diplomatic),United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,Italy,Western Europe,Lazio,Rome,Bombing/Explosion,Airports & Aircraft,Ethiopia,Eritrean Liberation Front,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Colorado,Boulder,Bombing/Explosion,Military,United States,Student Radicals,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Colorado,Colorado Springs,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,8,Incendiary
1.97E+11,1970,3,United States,North America,Colorado,Boulder,Facility/Infrastructure Attack,Police,United States,Student Radicals,8,Incendiary
1.97E+11,1970,3,United States,North America,Colorado,Boulder,Bombing/Explosion,Police,United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Ohio,Cleveland,Facility/Infrastructure Attack,Private Citizens & Property,United States,Black Nationalists,8,Incendiary
1.97E+11,1970,3,Spain,Western Europe,Unknown,Unknown,Hostage Taking (Kidnapping),Government (General),Spain,1st of May Group,13,Unknown
1.97E+11,1970,3,United States,North America,Colorado,Denver,Bombing/Explosion,Private Citizens & Property,,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Washington,Seattle,Bombing/Explosion,Government (General),United States,Student Radicals,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,California,Oakland,Bombing/Explosion,Military,United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,California,Martinez,Bombing/Explosion,Transportation,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Colorado,Denver,Bombing/Explosion,Private Citizens & Property,,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Washington,Seattle,Bombing/Explosion,Government (General),United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Colorado,Denver,Bombing/Explosion,Private Citizens & Property,,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Puerto Rico,San Juan,Assassination,Military,United States,Armed Commandos of Liberation,5,Firearms
1.97E+11,1970,3,Guatemala,Central America & Caribbean,,Guatemala City,Hostage Taking (Kidnapping),Government (Diplomatic),United States,Rebel Armed Forces of Guatemala (FAR),5,Firearms
1.97E+11,1970,3,United States,North America,Michigan,Detroit,Bombing/Explosion,Police,United States,"Weather Underground, Weathermen",6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Michigan,Detroit,Bombing/Explosion,Police,United States,"Weather Underground, Weathermen",6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,California,Berkeley,Facility/Infrastructure Attack,Educational Institution,United States,Unknown,8,Incendiary
1.97E+11,1970,3,United States,North America,Alabama,Ashville,Facility/Infrastructure Attack,Private Citizens & Property,United States,Ku Klux Klan,2,Chemical
1.97E+11,1970,3,United States,North America,Connecticut,Bridgeport,Facility/Infrastructure Attack,Religious Figures/Institutions,United States,White extremists,8,Incendiary
1.97E+11,1970,3,United States,North America,New Mexico,Albuquerque,Bombing/Explosion,Military,United States,White extremists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Maryland,Bel Air,Bombing/Explosion,Unknown,United States,Black Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,West Germany (FRG),Western Europe,Bavaria,Munich,Bombing/Explosion,Government (General),Germany,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Maryland,Cambridge,Bombing/Explosion,Government (General),United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,California,San Francisco,Facility/Infrastructure Attack,Business,United States,Student Radicals,8,Incendiary
1.97E+11,1970,3,Brazil,South America,Sao Paulo,Sao Paulo,Hostage Taking (Kidnapping),Government (Diplomatic),Japan,Popular Revolutionary Vanguard (VPR),13,Unknown
1.97E+11,1970,3,United States,North America,Illinois,Champaign,Facility/Infrastructure Attack,Military,United States,Student Radicals,8,Incendiary
1.97E+11,1970,3,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Revolutionary Force 9,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Revolutionary Force 9,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Illinois,Chicago,Bombing/Explosion,Police,United States,Black Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Illinois,Chicago,Bombing/Explosion,Police,United States,Black Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Revolutionary Force 9,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Wisconsin,Appleton,Facility/Infrastructure Attack,Military,United States,Student Radicals,8,Incendiary
1.97E+11,1970,3,United States,North America,Wisconsin,Appleton,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,8,Incendiary
1.97E+11,1970,3,Ethiopia,Sub-Saharan Africa,Unknown,Unknown,Hostage Taking (Kidnapping),Journalists & Media,International,Eritrean Liberation Front,13,Unknown
1.97E+11,1970,3,Egypt,Middle East & North Africa,,Alexandria,Bombing/Explosion,Airports & Aircraft,Egypt,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,New York,New York City,Bombing/Explosion,Military,United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,California,Long Beach,Hijacking,Military,United States,Left-Wing Militants,7,Fake Weapons
1.97E+11,1970,3,United States,North America,Puerto Rico,San Juan,Bombing/Explosion,Business,United States,Puerto Rican Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Montana,Billings,Bombing/Explosion,Police,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,California,San Bernardino,Facility/Infrastructure Attack,Government (General),United States,White extremists,8,Incendiary
1.97E+11,1970,3,United States,North America,California,Los Angeles,Bombing/Explosion,Educational Institution,United States,Chicano Liberation Front,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Ohio,Lockland,Bombing/Explosion,Utilities,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Oregon,Portland,Bombing/Explosion,Military,United States,White extremists,8,Incendiary
1.97E+11,1970,3,United States,North America,Michigan,Detroit,Assassination,Private Citizens & Property,United States,White extremists,5,Firearms
1.97E+11,1970,3,United States,North America,District of Columbia,Washington,Bombing/Explosion,Government (General),United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,New York,New York City,Facility/Infrastructure Attack,Business,United States,Puerto Rican Resistance Movement,8,Incendiary
1.97E+11,1970,3,United States,North America,New York,New York City,Facility/Infrastructure Attack,Business,United States,Puerto Rican Resistance Movement,8,Incendiary
1.97E+11,1970,3,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Black Panthers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Black Panthers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Black Panthers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Florida,Orlando,Bombing/Explosion,Private Citizens & Property,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,Philippines,Southeast Asia,Pampanga,Angeles,Unknown,Military,United States,Unknown,13,Unknown
1.97E+11,1970,3,Dominican Republic,Central America & Caribbean,,Santo Domingo,Hostage Taking (Kidnapping),Military,United States,Dominican Popular Movement (MPD),13,Unknown
1.97E+11,1970,3,Argentina,South America,Corrientes,Ituzaingo,Hostage Taking (Kidnapping),Government (Diplomatic),Paraguay,Argentine Liberation Front (FAL),13,Unknown
1.97E+11,1970,3,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Ohio,Cleveland,Bombing/Explosion,Private Citizens & Property,United States,White extremists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,California,Richmond,Bombing/Explosion,Police,United States,Black Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,California,San Francisco,Bombing/Explosion,Police,United States,Black Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,Argentina,South America,Buenos Aires,Buenos Aires,Hostage Taking (Kidnapping),Government (Diplomatic),Soviet Union,Argentine National Organization Movement (MANO),13,Unknown
1.97E+11,1970,3,Lebanon,Middle East & North Africa,Beirut,Beirut,Bombing/Explosion,Government (Diplomatic),United States,Popular Front for the Liberation of Palestine (PFLP),6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Illinois,Biggsville,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,8,Incendiary
1.97E+11,1970,3,United States,North America,Georgia,Fort Benning,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,8,Incendiary
1.97E+11,1970,3,Guatemala,Central America & Caribbean,,Guatemala City,Hostage Taking (Kidnapping),Government (Diplomatic),Germany,Rebel Armed Forces of Guatemala (FAR),13,Unknown
1.97E+11,1970,3,Japan,East Asia,,Fukouka,Hijacking,Airports & Aircraft,Japan,Japanese Red Army (JRA),6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,District of Columbia,Washington,Bombing/Explosion,Government (General),United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,3,United States,North America,Washington,Seattle,Bombing/Explosion,Educational Institution,United States,Student Radicals,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,Ethiopia,Sub-Saharan Africa,Unknown,Unknown,Hostage Taking (Kidnapping),Government (Diplomatic),United States,Eritrean Liberation Front,13,Unknown
1.97E+11,1970,4,United States,North America,Michigan,East Lansing,Bombing/Explosion,Educational Institution,United States,Student Radicals,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,New York,Ithaca,Facility/Infrastructure Attack,Educational Institution,United States,White extremists,8,Incendiary
1.97E+11,1970,4,United States,North America,Texas,Houston,Facility/Infrastructure Attack,Military,United States,Student Radicals,8,Incendiary
1.97E+11,1970,4,Philippines,Southeast Asia,Pampanga,Mabalacat City,Unknown,Military,United States,New People's Army (NPA),13,Unknown
1.97E+11,1970,4,United States,North America,New York,New York City,Bombing/Explosion,Business,United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,Ireland,Western Europe,Dublin,Dublin,Armed Assault,Business,Ireland,Saor Eire (Irish Republican Group),5,Firearms
1.97E+11,1970,4,United States,North America,New York,New York City,Bombing/Explosion,Business,Puerto Rico,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,New York,New York City,Bombing/Explosion,Private Citizens & Property,United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,Washington,Pullman,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,8,Incendiary
1.97E+11,1970,4,Brazil,South America,Rio Grande do Sul,Porto Alegre,Hostage Taking (Kidnapping),Government (Diplomatic),United States,Popular Revolutionary Vanguard (VPR),13,Unknown
1.97E+11,1970,4,Argentina,South America,Buenos Aires,Buenos Aires,Armed Assault,Military,Argentina,Argentine Liberation Front (FAL),5,Firearms
1.97E+11,1970,4,United States,North America,California,Trona,Bombing/Explosion,Utilities,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,California,Trona,Facility/Infrastructure Attack,Business,United States,Strikers,8,Incendiary
1.97E+11,1970,4,United States,North America,New York,New York City,Bombing/Explosion,NGO,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,Texas,Houston,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,8,Incendiary
1.97E+11,1970,4,United States,North America,Kansas,Lawrence,Bombing/Explosion,Business,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,Kansas,Baxter Springs,Bombing/Explosion,Private Citizens & Property,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,California,Los Angeles,Facility/Infrastructure Attack,Educational Institution,United States,Chicano Liberation Front,8,Incendiary
1.97E+11,1970,4,United States,North America,Illinois,East St. Louis,Bombing/Explosion,Business,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,California,San Diego,Bombing/Explosion,Military,United States,Left-Wing Militants,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,New York,Ithaca,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,8,Incendiary
1.97E+11,1970,4,United States,North America,Texas,Freeport,Facility/Infrastructure Attack,Business,United States,Unknown,8,Incendiary
1.97E+11,1970,4,United States,North America,California,Berkeley,Bombing/Explosion,Utilities,United States,New World Liberation Front (NWLF),6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,Missouri,Kansas City,Bombing/Explosion,Educational Institution,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,Missouri,Kansas City,Bombing/Explosion,Religious Figures/Institutions,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,Missouri,Kansas City,Bombing/Explosion,Police,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,California,Trona,Bombing/Explosion,Business,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,California,Long Beach,Bombing/Explosion,Educational Institution,United States,Student Radicals,6,Explosives/Bombs/Dynamite
1.97E+11,1970,4,United States,North America,California,Los Angeles,Bombing/Explosion,Business,United States,Unknown,6,Explosives/Bombs/Dynamite
